    1	 11.56
    2	  9.05
    3	 10.42
    4	 11.83
    5	 10.51
    6	 10.60
    7	  9.56
    8	  9.88
    9	  8.40
   10	  8.81
   11	 10.14
   12	  9.63
   13	  9.73
   14	  9.08
   15	  9.78
   16	  9.72
   17	  9.39
   18	 10.77
   19	  9.43
   20	  8.96
   21	  9.28
   22	  9.05
   23	 13.31
   24	  9.05
   25	  9.02
   26	  7.77
   27	  8.47
   28	 11.91
   29	  9.13
   30	  8.74
   31	  9.42
   32	  6.86
   33	 10.58
   34	 10.08
   35	  9.59
   36	  9.84
   37	 10.50
   38	 10.64
   39	  9.97
   40	 10.73
   41	  9.99
   42	  8.47
   43	  9.19
   44	  7.67
   45	  9.78
   46	 10.21
   47	  9.56
   48	  9.28
   49	  9.06
   50	  9.88
   51	  8.22
   52	 10.09
   53	 10.17
   54	 11.44
   55	  9.85
   56	  9.53
   57	  8.98
   58	  9.37
   59	  9.18
   60	 10.19
   61	  8.83
   62	 11.47
   63	  8.55
   64	 14.38
   65	 10.33
   66	  8.01
   67	  9.62
   68	  8.69
   69	 10.70
   70	  9.17
   71	 10.13
   72	  9.28
   73	  8.85
   74	 11.05
   75	 10.14
   76	 11.19
   77	 10.66
   78	  8.75
   79	  9.55
   80	 10.26
   81	  9.21
   82	  9.52
   83	  8.93
   84	  8.76
   85	  8.81
   86	  9.72
   87	  8.74
   88	 10.15
   89	  5.72
   90	 10.00
   91	  9.20
   92	  9.43
   93	  9.95
   94	  8.78
   95	  9.28
   96	  9.05
   97	 10.16
   98	  9.26
   99	 10.33
  100	  9.39
  101	  9.91
  102	 10.34
  103	  9.34
  104	  9.97
  105	  9.96
  106	  9.59
  107	  5.95
  108	 10.17
  109	 10.08
  110	  8.59
  111	  9.67
  112	 11.10
  113	  9.46
  114	  8.74
  115	  9.97
  116	  9.55
  117	  8.74
  118	  9.66
  119	 10.61
  120	  9.53
  121	  8.44
  122	  8.92
  123	  5.71
  124	  9.17
  125	  9.50
  126	  8.99
  127	  9.93
  128	  9.03
  129	  8.48
  130	  8.65
  131	  8.92
  132	  9.10
  133	  9.64
  134	  8.31
  135	  8.62
  136	  9.61
  137	  9.24
  138	  8.43
  139	  9.25
  140	  9.03
  141	  9.65
  142	  8.86
  143	 10.06
  144	 10.48
  145	 10.04
  146	  8.77
  147	  8.03
  148	  9.51
  149	 10.22
  150	  9.02
  151	  8.93
  152	  6.02
  153	  8.94
  154	
  155	 10.77
  156	  7.93
  157	  9.10
  158	  9.20
  159	  8.62
  160	  8.26
  161	  9.01
  162	  6.58
  163	  9.56
  164	  9.12
  165	  8.93
  166	  9.23
  167	  8.60
  168	  9.02
  169	  9.68
  170	 10.91
  171	 11.26
  172	  9.53
  173	 10.94
  174	  8.99
  175	  9.12
  176	  9.39
  177	 10.36
  178	  6.18
  179	  8.86
  180	  8.87
  181	  9.13
  182	  8.62
  183	  9.00
  184	  8.53
  185	  9.18
  186	  9.73
  187	  8.04
  188	  6.88
  189	  9.43
  190	  8.73
  191	 10.94
  192	 10.15
  193	  9.35
  194	 10.78
  195	  9.35
  196	 10.83
  197	  8.31
  198	 10.18
  199	  6.32
  200	  9.49
  201	  9.73
  202	  9.91
  203	  9.69
  204	  9.62
  205	  9.44
  206	  9.26
  207	 10.42
  208	  9.57
  209	  7.70
  210	  8.68
  211	 10.43
  212	 10.90
  213	  9.34
  214	  9.53
  215	  8.87
  216	  9.32
  217	  8.94
  218	  9.54
  219	 10.67
  220	  8.56
  221	 10.05
  222	  6.13
  223	 10.57
  224	  8.80
  225	 10.13
  226	  7.02
  227	  9.48
  228	  9.74
  229	  9.05
  230	  8.45
  231	  9.98
  232	  9.77
  233	  8.52
  234	  8.98
  235	  9.06
  236	 10.88
  237	 10.03
  238	  9.80
  239	 11.02
  240	 10.28
  241	  9.30
  242	  7.63
  243	  8.70
  244	  9.88
  245	  9.16
